Publicatiedatum;Bronsoort;Url;Geplaatst door (optioneel);WhatsApp nummer (optioneel);Bericht;Tags;Sentiment;Voltooid op (optioneel);Gereageerd op (optioneel);Afhandeltijd (optioneel);Binnen service level (optioneel);Caseowner (optioneel);Reactie(s) (optioneel);PR waarde
17-03-2019 18:35:01;facebook;https://www.facebook.com/abppensioenfonds/inbox/1436298473083647/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hoi Ioannis, bedankt voor je bericht. We zijn er op dit moment niet, we nemen zo snel mogelijk contact met je op. Wil je bij een persoonlijke vraag je klantnummer en geboortedatum al meesturen? Dan kunnen we sneller aan de slag. ;;neutraal;;;;;;;0
17-03-2019 14:39:53;facebook;https://www.facebook.com/abppensioenfonds/inbox/2150919924954828/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hoi Jeffrey, bedankt voor je bericht. We zijn er op dit moment niet, we nemen zo snel mogelijk contact met je op. Wil je bij een persoonlijke vraag je klantnummer en geboortedatum al meesturen? Dan kunnen we sneller aan de slag. ;;neutraal;;;;;;;0
16-03-2019 19:54:56;twitter;https://twitter.com/abppensioen/status/1106992262477762567/;abppensioen;;Direct message (JCHellendoorn): Jazeker, net gedaan. Groet, Cindy ;;neutraal;;;;;;;0
16-03-2019 19:54:15;twitter;https://twitter.com/abppensioen/status/1106992087029960704/;abppensioen;;RT @APG_News: APG verwerft belang in Brussels Airport. Patrick Kanters: Met deze investering (namens ABP) beleggen we in infrastructuur van hoge kwaliteit met een veelbelovend groeipotentieel. Wij werken nl. aan stabiele lange termijn rendementen voor pensioenfondsen. ;Beleggen algemeen|Delen nieuws;neutraal;18-03-2019 08:52:28;;00:00:52:28;Ja;Iris;;414
16-03-2019 19:26:37;facebook;https://www.facebook.com/abppensioenfonds/inbox/2149773085069512/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hoi Yolande, bedankt voor je bericht. We zijn er op dit moment niet, we nemen zo snel mogelijk contact met je op. Wil je bij een persoonlijke vraag je klantnummer en geboortedatum al meesturen? Dan kunnen we sneller aan de slag. ;;neutraal;;;;;;;0
15-03-2019 18:57:45;twitter;https://twitter.com/abppensioen/status/1106615480918466560/;abppensioen;;Vanavond wordt in Meldpunt @MAXVandaag de terugvordering van te veel uitbetaald pensioen besproken. Heb je na de uitzending nog vragen? Dan kun je gerust contact opnemen via 045-5796170 (we zijn vanavond nog tot 2 uur na de uitzending bereikbaar) https://www.abp.nl/over-abp/actueel/nieuws/abp-past-1187-pensioenuitkeringen-aan.aspx https://t.co/TIr9qCFknr ;;neutraal;;;;;;;942
15-03-2019 17:13:18;facebook;https://facebook.com/2146344675412353/?comment_id=2148267665220054;ABP Pensioenfonds voor overheid en onderwijs;;ABP Pensioenfonds voor overheid en onderwijs Op dit moment is het niet mogelijk het ABP pensioen te verhogen. Daar is de dekkingsgraad helaas te laag voor. Als je hier een vraag over hebt, dan hoor ik het graag. Groet, Cindy ;;neutraal;;;;;;;10
15-03-2019 17:06:24;facebook;https://facebook.com/439703479409823_2148260711887416/;ABP Pensioenfonds voor overheid en onderwijs;;ABP Pensioenfonds voor overheid en onderwijs Bankjes in elkaar zetten, tuintjes opknappen: onze bestuursleden draaien er hun hand niet voor om! Bij een dagbesteding voor ouderen hebben Corien Wortmann, Conchita Mulder en andere collega s mooi werk verricht voor NLdoet. En naast al dat harde werk was er natuurlijk ook tijd voor een praatje tijdens de lunch. Een #topdag, wat ons betreft! #NLdoet ;;positief;;;;;;;210
15-03-2019 16:57:31;twitter;https://twitter.com/abppensioen/status/1106585224815751168/;abppensioen;;Bankjes in elkaar zetten, tuintjes opknappen: onze bestuursleden draaien er hun hand niet voor om! Bij een dagbesteding voor ouderen hebben @Corien_Wortmann en Conchita Mulder mooi werk verricht voor #NLdoet. Een #topdag, wat ons betreft! https://t.co/jevOvMoyyq ;;positief;;;;;;;828
15-03-2019 16:13:21;twitter;https://twitter.com/abppensioen/status/1106574111483052037/;abppensioen;;Direct message (rodirida): Vervelend :( Ik hou het in de gaten. Zodra ik meer weet, hoor je het direct van me. We houden contact! Groet, Koen ;;negatief;;;;;;;0
15-03-2019 15:31:20;facebook;https://www.facebook.com/abppensioenfonds/inbox/1436298473083647/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hoi Ioannis, Bedankt voor de foto’s! Ik ben verder voor je aan de slag gegaan. 🙂 Deze app op de iPad wordt niet meer actief door ons beheert. Sterker nog deze versie bestaat eigenlijk niet meer… 🙁 De app was oorspronkelijk een test en na de testfase is besloten dat het niet genoeg aan onze service toevoegde. Waarna we deze (voor nieuwe gebruikers) niet langer meer beschikbaar stellen. Momenteel kan je de app nog wel gebruiken. Alleen is de beschikbare informatie algemeen en niet actueel. Ook is er geen mogelijkheid om via de app naar je persoonlijke MijnABP te gaan. Wel is MijnABP via internet te bereiken en kan je zo je gegevens inzien! 🙂 Hopelijk is mijn uitleg duidelijk. Laat je me weten als je nog vragen hebt?  Groet, Judith ;;neutraal;;;;;;;0
15-03-2019 14:14:31;facebook;https://www.facebook.com/abppensioenfonds/inbox/2147863408593813/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hoi Lydia, Graag gedaan! Ik heb de betaalspecificatie inderdaad ook per mail naar je gestuurd.😉 Helaas, kan ik je geen jaaropgave 2018 sturen. Je ontvangt alleen een jaaropgave als je in dit jaar een betaling hebt ontvangen. In 2018 hebben we niks aan je uitgekeerd. Daarom is er geen jaaropgave beschikbaar. 🙂  Verder zullen we alle documenten per papieren post blijven sturen! Weet je hiermee voldoende? Zo niet, stel gerust je vragen. Groet, Iris ;;neutraal;;;;;;;0
15-03-2019 13:35:14;twitter;https://twitter.com/abppensioen/status/1106534317638012938/;abppensioen;;Direct message (rh0935): Graag gedaan.  Voor nu wens ik je alvast een mooi weekend. Vriendelijke groet, Sanne ;;neutraal;;;;;;;0
15-03-2019 13:30:51;twitter;https://twitter.com/abppensioen/status/1106533216410890245/;abppensioen;;Direct message (rodirida): Hoi Ron, Fijn dat je toch weer kunt inloggen in MijnABP.  Het probleem via MijnPensioenoverzicht kan ik nog niet voor je oplossen. Zoals ik ook al eerder heb aangegeven, heb ik deze vraag uitgezet bij de betreffende afdeling. Ik laat het je meteen weten als wij antwoord krijgen. Hopelijk heb je nog wat geduld?  Groet, Koen. ;;neutraal;;;;;;;0
15-03-2019 13:16:26;facebook;https://www.facebook.com/abppensioenfonds/inbox/1436298473083647/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hi Ioannis,  Oei, okee. Kun je misschien een foto maken van wat je ziet op je iPad? Dan kan ik dit met onze IT-specialist bespreken. Als we zien wat er fout gaat/is, dan weten we beter hoe we het kunnen oplossen! Heel graag gedaan! :) We helpen je graag.  Groetjes, Judith ;;neutraal;;;;;;;0
15-03-2019 13:13:11;twitter;https://twitter.com/abppensioen/status/1106528767470718988/;abppensioen;;Direct message (rh0935): Hi Roel,  Ik zou bij je terugkomen over je antwoorden. Jammer genoeg heb ik nog geen reactie over de bedragen op je MijnABP pagina. Zodra ik daarover meer weet, kom ik bij je terug! Wel heb ik nieuws over de betaling. Er is enige tijd beslag gelegd op je uitkering. Daarvan is een deel teruggestort door de beslaglegger. Dit deel wordt zo snel mogelijk aan jou uitbetaald.  Je pensioenuitkering van deze maand wordt op 1 april uitbetaald. Deze verlate betaling heeft te maken met je adresgegevens. We hadden geen adres van jou. We moesten het pensioen daarom reserveren. Op dit moment hebben we wel een adres van jou geregistreerd. De gemeente heeft deze aan ons doorgegeven. Je pensioen is uit de reservering gehaald. Maar dit was te laat voor de reguliere betaaldatum (21-3).  Heb je nog meer vragen, ik hoor ze graag! Vriendelijke groet, Sanne ;;negatief;;;;;;;0
15-03-2019 12:56:17;facebook;https://www.facebook.com/abppensioenfonds/inbox/2147863408593813/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hi Lydia, Balen dat je je betaalspecificatie en jaaropgave niet hebt ontvangen… 🙁 Ik maak het gelijk in orde! Sinds augustus 2018 heb je recht op een AAOP uitkering. Aangezien in januari de eerste betaling (met terugwerkende kracht) van je AAOP uitkering heeft plaatsgevonden, bestaat er geen jaaropgave 2018. Er is namelijk in 2018 niks uitgekeerd.😊 De betaalspecificatie van januari heb ik per mail gestuurd. Daarnaast vind je deze terug in de bijlage van dit chatbericht. Alle documenten hebben we per post gestuurd. We kunnen deze voortaan ook digitaal in je MijnABP plaatsen. Om dan je post te kunnen bekijken, heb je DigiD nodig. Is dit een idee? 🙂 Ik hoor het graag!  Groet, Iris ;;neutraal;;;;;;;0
15-03-2019 12:12:50;twitter;https://twitter.com/abppensioen/status/1106513579593867268/;abppensioen;;Direct message (ccolijn1): Hi Chris,  Goed dat het gelukt is om ons een privé bericht te sturen. Is wel zo veilig. :) Is het je ook nog gelukt om de openbare tweets met je persoonlijke informatie te verwijderen?  Je stelt in je eerste bericht een vraag over je opgebouwde ABP pensioen. In ons systeem kan ik zien dat je hebt in het verleden je ABP pensioen niet hebt samengevoegd met PGGM, maar we hebben je pensioen afgekocht. In oktober 2015 heb je het afkoopbedrag ontvangen.   Heb je de brief die wij destijds, 03-06-2015, gestuurd hebben nog? Zo niet, kan ik deze nog even per mail naar je sturen. Wil je dan even je e-mail adres doorgeven?  Groet, Koen ;;neutraal;;;;;;;0
15-03-2019 11:52:44;twitter;https://twitter.com/abppensioen/status/1106508522848694276/;abppensioen;;Direct message (rodirida): Hi Ron,  Ai, ja dat gaat niet zo lekker.. Heb je vandaag al geprobeerd in te loggen? Ik kom op dit moment gewoon in je persoonlijke MijnABP en krijg geen storingsmelding. Het lijkt als of de storing verholpen is. Wil je dit even controleren?  Je vorige vraag over MijnPensioenoverzicht heb ik uitgezet bij de betreffende afdeling. Als ik antwoord heb, laat ik je dit meteen weten. Groet, Koen ;;neutraal;;;;;;;0
